coluna,tipo,pct_na,n_unicos,constante,ano
p.ind_dinh_const_memb,float64,99.86,2,False,2024
p.ind_dinh_flanelhinha_memb,float64,99.86,2,False,2024
p.ind_dinh_carregador_memb,float64,99.86,2,False,2024
p.ind_dinh_catador_memb,float64,99.86,2,False,2024
p.ind_dinh_servs_gerais_memb,float64,99.86,2,False,2024
p.ind_dinh_pede_memb,float64,99.86,2,False,2024
p.ind_dinh_vendas_memb,float64,99.86,2,False,2024
p.ind_dinh_outro_memb,float64,99.86,2,False,2024
p.ind_dinh_nao_resp_memb,float64,99.86,2,False,2024
p.ind_atend_nenhum_memb,float64,99.86,2,False,2024
d.ind_risco_scl_vlco_drts,float64,99.86,2,False,2024
p.cod_cart_assinada_memb,float64,99.86,3,False,2024
p.cod_tempo_rua_memb,float64,99.86,6,False,2024
p.cod_tempo_cidade_memb,float64,99.86,6,False,2024
p.cod_contato_parente_memb,float64,99.86,6,False,2024
p.ind_def_surdez_leve_memb,float64,99.8,1,True,2024
p.ind_def_cegueira_memb,float64,99.76,1,True,2024
p.ind_def_surdez_profunda_memb,float64,99.74,1,True,2024
d.cod_reserva_indigena_fam,float64,99.63,9,False,2024
d.nom_reserva_indigena_fam,str,99.63,9,False,2024
p.ind_ajuda_especializado_memb,float64,99.57,1,True,2024
p.ind_ajuda_instituicao_memb,float64,99.46,1,True,2024
p.ind_transgenero,float64,99.38,3,False,2024
p.ind_tipo_identidade_genero,float64,99.38,3,False,2024
d.cod_indigena_reside_fam,float64,99.34,2,False,2024
d.cod_povo_indigena_fam,float64,99.34,36,False,2024
d.nom_povo_indigena_fam,str,99.34,36,False,2024
p.ind_def_baixa_visao_memb,float64,99.01,1,True,2024
d.nom_comunidade_quilombola_fam,str,98.69,88,False,2024
d.cod_comunidade_quilombola_fam,float64,98.69,90,False,2024
p.ind_def_transtorno_mental_memb,float64,98.58,1,True,2024
p.ind_def_mental_memb,float64,98.0,1,True,2024
p.cod_complemento_pessoa,str,97.57,835,False,2024
p.ind_ajuda_nao_memb,float64,96.65,1,True,2024
p.ind_def_fisica_memb,float64,96.01,1,True,2024
p.ind_ajuda_familia_memb,float64,95.6,1,True,2024
p.ind_identidade_genero,float64,93.21,2,False,2024
d.ind_risco_scl_inseg_alim,float64,77.61,2,False,2024
inseg_alim_bin,float64,77.61,2,False,2024
d.nom_centro_assist_fam,str,76.84,99,False,2024
d.cod_centro_assist_fam,float64,76.84,117,False,2024
p.cod_agricultura_trab_memb,float64,74.47,2,False,2024
p.cod_principal_trab_memb,float64,74.47,11,False,2024
p.qtd_meses_12_meses_memb,float64,74.27,13,False,2024
p.cod_ano_serie_frequenta_memb,float64,73.89,10,False,2024
p.cod_censo_inep_memb,float64,68.72,7556,False,2024
p.cod_escola_local_memb,float64,67.07,2,False,2024
p.sig_uf_escola_memb,str,67.07,26,False,2024
p.nom_munic_escola_memb,str,67.07,1158,False,2024
p.cod_ibge_munic_escola_memb,float64,67.07,1177,False,2024
p.cod_curso_frequenta_memb,float64,67.05,14,False,2024
p.nom_escola_memb,str,67.05,14754,False,2024
p.cod_afastado_trab_memb,float64,54.07,2,False,2024
d.cod_cta_energ_unid_consum_fam,object,52.35,318291,False,2024
p.cod_concluiu_frequentou_memb,float64,51.7,2,False,2024
p.cod_ano_serie_frequentou_memb,float64,51.7,10,False,2024
p.cod_curso_frequentou_pessoa_memb,float64,49.2,15,False,2024
d.nom_estab_assist_saude_fam,str,48.59,872,False,2024
