cd_ibge,prob_risco,y_true
2700300,0.03501006202995565,0
2704104,0.018147277941605644,0
2704104,0.012489055053525846,0
2704104,0.009054441562202321,0
2704104,0.023062757954423165,0
2704104,0.008467213731247397,0
2704104,0.010020404445708054,0
2708006,0.014552243971573868,0
2708006,0.015041361695623909,0
2708006,0.015103883240849748,0
2708006,0.012232272630533704,0
2708006,0.025355314178859556,0
2704609,0.06073110882761676,0
2706000,0.008499684833788306,0
2706000,0.01683030334246892,0
2706000,0.023875389362307372,0
2706000,0.016415634713466697,0
2706000,0.033184637312572096,0
2706000,0.03101611668549192,0
2706000,0.04797422234454333,0
2704104,0.007842341639929818,0
2704104,0.005693281201748518,0
2705705,0.2998176184652375,1
2705705,0.5060181507137061,1
2706109,0.04172826826356656,0
2706109,0.07070092873935738,0
2700201,0.051730245056877226,0
2700201,0.044563701076034905,0
2700201,0.05075977173218888,0
2700201,0.03843679005163828,0
2700201,0.032667662815526986,0
2700201,0.04149025962373757,0
2700201,0.042385376022535795,0
2700201,0.009134772023688523,0
2700201,0.0069901194264209475,0
2700201,0.007120848960271113,0
2700201,0.008744626322432558,0
2700201,0.01571409091351258,0
2700201,0.041990459893276384,0
2700201,0.05138669453984063,0
2700201,0.05677486947734425,0
2700201,0.0011024443786114605,0
2700201,0.001243685818003886,0
2700201,0.0033369386521602193,0
2700201,0.0010221369844949308,0
2700201,0.004680685674431529,0
2700201,0.00396403401071448,0
2700201,0.00996225546259569,0
2700201,0.00565312387315764,0
2701209,0.01305534888546051,0
2701209,0.01711133050263821,0
2701209,0.008738594937317833,0
2701209,0.008622848751091584,0
2701209,0.023686583760860847,0
2701209,0.020509768578068605,0
2702405,0.027919098690151734,0
2702405,0.022846074360322793,0
2702504,0.033816338947882475,0
2702504,0.022523770962918903,0
2700805,0.6425646450693053,1
2700805,0.6638136778176613,1
2700805,0.43585644646914773,1
2700805,0.41820888754337704,1
2706307,0.09292667775105183,0
2706307,0.05939338099515971,0
2706307,0.11971726518816768,0
2706307,0.04775723127461931,0
2706307,0.046539901122265574,0
2706307,0.053303190365711774,0
2706307,0.06259332552614216,0
2704401,0.004381395115039275,0
2704401,0.0042130761556084025,0
2704401,0.004805463238116927,0
2704401,0.013145707357474517,0
2704401,0.046116442559968364,0
2704401,0.02112558660254602,0
2704401,0.03679742093987229,0
2704401,0.04650351461299521,0
2700201,0.007261230526751138,0
2700201,0.010479821973843059,0
2704609,0.4136369908178125,1
2704609,0.3955209998120681,1
2704609,0.3788731011260465,1
2704609,0.2292767746590935,1
2704609,0.04385445019232238,0
2704609,0.0338226762329547,0
2704609,0.03778632643039981,0
2704609,0.021843348984824956,0
2704609,0.02943624456311657,0
2704609,0.030753811574239783,0
2704609,0.029064504686101396,0
2702504,0.00640057629205713,0
